FRAME, TEMP, CHAN1, CHAN2, CHAN3, CHAN4, CHAN5, CHAN6, CHAN7, CHAN8, CHAN9, CHAN10, CHAN11, CHAN12, CHAN13, CHAN14, CHAN15, CHAN16, CHAN17, CHAN18, CHAN19, CHAN20, CHAN21, CHAN22, CHAN23, CHAN24, CHAN25, CHAN26, CHAN27, CHAN28, CHAN29, CHAN30, CHAN31, CHAN32
1.000000,35.363834,0.964622,-0.338253,-0.539081,-0.717054,-0.865091,-0.850821,-0.752075,-0.636808,-0.454836,-0.065483,-0.101962,-0.118857,-0.080386,0.022467,0.068939,0.106872,0.126378,0.124543,1.356660,1.356358,1.357229,1.356844,1.357575,1.355452,1.356781,1.357052,1.356878,1.356719,1.356934,1.356922,1.356113,1.356767
2.000000,35.359776,0.967281,-0.336216,-0.536213,-0.713847,-0.861974,-0.848662,-0.747565,-0.629796,-0.468098,-0.058843,-0.095049,-0.112013,-0.074427,0.027077,0.075291,0.113776,0.132528,0.131511,1.360223,1.359595,1.360148,1.360176,1.360040,1.358958,1.359888,1.360521,1.359996,1.359731,1.360026,1.360815,1.359671,1.360319
3.000000,35.359554,0.966530,-0.338877,-0.539393,-0.716919,-0.865245,-0.851892,-0.750795,-0.633035,-0.471068,-0.060721,-0.096857,-0.114558,-0.075700,0.025601,0.075781,0.111882,0.131017,0.131051,1.362700,1.364856,1.362198,1.362479,1.363235,1.361216,1.362523,1.362937,1.361785,1.361886,1.364534,1.362799,1.365052,1.362592
4.000000,35.357353,0.968712,-0.337828,-0.538481,-0.716710,-0.865358,-0.852018,-0.750698,-0.632682,-0.472240,-0.060461,-0.097208,-0.114307,-0.076330,0.025673,0.073621,0.112373,0.131256,0.129984,1.363420,1.362638,1.363341,1.363414,1.363380,1.362204,1.362990,1.363818,1.363189,1.362697,1.362999,1.363964,1.362437,1.363302
5.000000,35.356136,0.970898,-0.337752,-0.538345,-0.716680,-0.865486,-0.852141,-0.750324,-0.631755,-0.470328,-0.059709,-0.095396,-0.112382,-0.074552,0.027153,0.075653,0.114129,0.132793,0.131884,1.364617,1.364138,1.364526,1.364711,1.364611,1.363426,1.364236,1.365126,1.364507,1.364194,1.364510,1.365256,1.364167,1.364676
6.000000,35.354378,0.969481,-0.338635,-0.538981,-0.716894,-0.865441,-0.852033,-0.750370,-0.631852,-0.470503,-0.061144,-0.095503,-0.112535,-0.074981,0.026707,0.074993,0.113457,0.132293,0.131043,1.363162,1.362528,1.363050,1.363276,1.363160,1.361884,1.362769,1.363606,1.363079,1.362731,1.362968,1.363734,1.362735,1.363258
7.000000,35.353931,0.966467,-0.338273,-0.538150,-0.715591,-0.863714,-0.850258,-0.749158,-0.630986,-0.469127,-0.061573,-0.095879,-0.112785,-0.075431,0.026087,0.074074,0.112423,0.131301,0.129887,1.360279,1.359414,1.360032,1.360100,1.360127,1.358698,1.359751,1.360436,1.360023,1.359529,1.359891,1.360481,1.359655,1.360112
8.000000,35.353409,0.967243,-0.338283,-0.537930,-0.715386,-0.863439,-0.849902,-0.748913,-0.630667,-0.464968,-0.060678,-0.094851,-0.111962,-0.074467,0.026777,0.074691,0.112783,0.131651,0.130373,1.361446,1.360532,1.361134,1.361244,1.361172,1.359896,1.360826,1.361497,1.361023,1.360677,1.360869,1.361662,1.360662,1.361208
9.000000,35.352112,0.968974,-0.338869,-0.538648,-0.716526,-0.864711,-0.851109,-0.749894,-0.631462,-0.468214,-0.059557,-0.094552,-0.111753,-0.074182,0.027173,0.075264,0.113407,0.132213,0.131087,1.363753,1.362809,1.363360,1.363457,1.363503,1.362218,1.363052,1.363780,1.363315,1.362980,1.363163,1.364077,1.363117,1.363469
10.000000,35.349342,0.968836,-0.338402,-0.538524,-0.716714,-0.865166,-0.851603,-0.750603,-0.632100,-0.472273,-0.059906,-0.095835,-0.112980,-0.075237,0.026442,0.074661,0.113047,0.131834,0.130902,1.364129,1.362890,1.363670,1.363687,1.363715,1.362434,1.363209,1.363981,1.363661,1.363175,1.363365,1.364311,1.363309,1.363684
